打率.260,試合122,打席460,打数430,得点32,安打112,内安8,内安率7.1,２Ｂ19,３Ｂ3,本塁3,HR勝敗2-1-0,塁打146,打点27,三振82
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
20,2,1,0,9,7,0,100.0,12,0,10,.207,.289,.340,.629
