打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Home,0.308,65,242,221,16,68,8,2,2,86,18,47,13,2,0,0,8,3,0,7,0.335,0.389,0.724
Visitor,0.211,57,218,209,16,44,11,1,1,60,9,35,7,0,1,0,1,4,0,5,0.239,0.287,0.526
