アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,105,32.3%,安打,112,83.0%
フライ,138,42.5%,四死球,21,15.6%
空三振,71,21.8%,失策出塁,2,1.5%
見三振,11,3.4%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
