チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
巨人,0.375,2,8,8,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0.75
阪神,0.308,3,14,13,2,4,2,0,0,6,0,5,1,1,0,0,0,0,0,1,0.357,0.462,0.819
ＤｅＮＡ,0.2,3,11,10,0,2,1,0,0,3,2,2,0,0,0,0,1,0,0,1,0.182,0.3,0.482
広島,0.222,3,10,9,1,2,1,0,0,3,1,0,0,0,0,0,1,1,0,1,0.2,0.333,0.533
ヤクルト,0.0,1,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0
中日,0.273,3,12,11,0,3,1,0,0,4,0,2,1,0,0,0,0,0,0,1,0.333,0.364,0.697
