NOI444.4,GPA.233,RC0.33,RC274.43,XR0.31,XR274.21,RCAA0.03,XR+0.01,RCWIN0.00,XRWIN0.00,BABIP.500
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,3.00,0.000,-,0.000,0.500,-,33.3%,
