打率.256,試合141,打席574,打数528,得点38,安打135,内安7,内安率5.2,２Ｂ22,３Ｂ0,本塁14,HR勝敗10-4-0,塁打199,打点67,三振76
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
40,6,1,0,5,4,1,80.0,7,0,13,.299,.307,.377,.684
