連続項目,フラグ (現状値 / 最高値)
安打,0打席 / 4打席
本塁打,0打席 / 1打席
無安打,1打席 / 18打席
三振,0打席 / 4打席
無三振,9打席 / 28打席
出塁,0打席 / 4打席
