HQS率-,SQS率-,被打率.267,被BABIP.333,被出塁率.383,被長打率.455,K/BB1.67,K/910.25,BB/96.15,HR/91.71,GO/AO1.10,援護率-,IPR1.55,NHB%8.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.90,74.4%,-7.44,-0.88,-7.30,109,9.0,0,0,26.1,17,2,16,
