アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,177,39.0%,安打,124,72.5%
フライ,137,30.2%,四死球,42,24.6%
空三振,98,21.6%,失策出塁,5,2.9%
見三振,33,7.3%,野選,0,0.0%
犠打,9,2.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
