NOI422.1,GPA.222,RC14.84,RC273.64,XR14.45,XR273.55,RCAA-0.09,XR+-0.55,RCWIN-0.01,XRWIN-0.06,BABIP.316
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.33,0.052,17.44,5.81,0.062,145.00,0.124,0.532,0.00,23.6%,
