打率.262,試合64,打席157,打数145,得点12,安打38,内安10,内安率26.3,２Ｂ6,３Ｂ0,本塁1,HR勝敗1-0-0,塁打47,打点5,三振27
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
9,0,2,1,0,0,0,-,3,0,2,.241,.314,.324,.638
