打率.204,試合36,打席131,打数113,得点8,安打23,内安0,内安率0.0,２Ｂ3,３Ｂ0,本塁3,HR勝敗2-1-0,塁打35,打点9,三振24
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
17,0,1,0,0,0,0,-,3,0,4,.154,.313,.310,.623
