NOI416.2,GPA.218,RC10.85,RC273.12,XR11.33,XR273.25,RCAA-2.05,XR+-1.72,RCWIN-0.24,XRWIN-0.20,BABIP.233
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.71,0.109,7.71,5.46,0.106,37.67,0.257,0.564,0.00,33.6%,
