球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,248,46.4%,146.6,39,30,56,90,50.4%,30.5%,.178,45,8,1,12,9,1
フォーク,75,14.0%,134.5,15,7,15,22,49.3%,32.6%,.150,20,3,0,4,1,0
スライダー,56,10.5%,129.9,8,4,7,26,33.9%,30.8%,.154,13,2,0,2,3,0
ツーシーム,36,6.7%,145.6,7,4,5,13,44.4%,36.8%,.429,7,3,0,0,0,0
カットボール,34,6.4%,137.2,6,5,8,11,55.9%,33.3%,.600,5,3,1,1,2,0
チェンジアップ,30,5.6%,126.7,3,3,4,12,33.3%,20.0%,.375,8,3,1,0,2,0
カーブ,21,3.9%,113.8,4,3,1,12,38.1%,66.7%,.000,3,0,0,2,0,0
シュート,10,1.9%,142.8,0,1,4,4,50.0%,0.0%,.000,2,0,0,1,0,0
ナックルカーブ,9,1.7%,125.7,2,0,0,6,22.2%,66.7%,.000,3,0,0,2,0,0
縦スライダー,5,0.9%,130.7,0,1,1,1,40.0%,0.0%,.000,2,0,0,0,0,0
スプリット,4,0.7%,136.0,1,0,1,0,50.0%,25.0%,.500,2,1,0,0,0,0
シンカー,4,0.7%,134.3,0,0,1,1,25.0%,0.0%,.000,2,0,0,0,0,0
スローカーブ,1,0.2%,87.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
パワーカーブ,1,0.2%,121.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
