HQS率39.1%,SQS率39.1%,被打率.246,被BABIP.276,被出塁率.302,被長打率.353,K/BB2.13,K/95.44,BB/92.55,HR/90.60,GO/AO0.96,援護率2.72,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.34,78.0%,2.80,0.32,5.26,472,0.0,139,42,0.0,0,0,0,
