条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.216,288,259,56,9,1,6,39,20,3,5,1
対左打者,0.276,277,257,71,15,1,3,42,18,1,0,1
