アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,147,38.1%,安打,127,70.9%
フライ,153,39.6%,四死球,42,23.5%
空三振,66,17.1%,失策出塁,9,5.0%
見三振,15,3.9%,野選,1,0.6%
犠打,5,1.3%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
