防御率2.69,試合23,先発23,救援0,連投(試)0,連投(日)0,勝利7,敗戦9,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投1,完封1,無四球1
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.438,134.0,565,2082,15.5,127,9,81,38,0,4,3,0,47,40,1.23,56.5%
