NOI0.0,GPA.000,RC-0.93,RC27-2.80,XR-0.84,XR27-2.53,RCAA-1.79,XR+-1.70,RCWIN-0.21,XRWIN-0.20,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.25,0.000,-,0.000,0.000,-,44.4%,
