アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,73,22.5%,安打,96,68.1%
フライ,125,38.6%,四死球,44,31.2%
空三振,92,28.4%,失策出塁,1,0.7%
見三振,33,10.2%,野選,0,0.0%
犠打,1,0.3%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
