NOI445.4,GPA.244,RC52.60,RC274.20,XR52.58,XR274.20,RCAA6.83,XR+6.27,RCWIN0.79,XRWIN0.72,BABIP.276
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.34,0.073,10.81,3.72,0.202,21.00,0.305,0.668,5.22,40.4%,
