左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
39.1% (115),39.1% (115),39.1% (115),26.2% (77),26.2% (77),26.2% (77),34.7% (102),34.7% (102),34.7% (102)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
38.2% (29),60.0% (12),37.4% (74),38.2% (29),15.0% (3),22.7% (45),23.7% (18),25.0% (5),39.9% (79)
