守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,.286,2,8,7,1,2,1,0,0,3,1,1,1,0,0,0,0,0,0,0,.375,.429,0.804
中堅手,.250,16,63,60,8,15,3,0,2,24,5,21,3,0,0,0,0,1,1,0,.286,.400,0.686
右翼手,.223,92,375,337,37,75,19,1,16,144,42,98,36,5,1,1,0,2,2,7,.299,.427,0.727
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.250,17,19,16,2,4,0,0,2,10,8,5,3,1,0,0,0,0,0,0,.368,.625,0.993
