左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
40.0% (8),40.0% (8),40.0% (8),20.0% (4),20.0% (4),20.0% (4),40.0% (8),40.0% (8),40.0% (8)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
25.0% (1),- (0),43.8% (7),0.0% (0),- (0),25.0% (4),75.0% (3),- (0),31.3% (5)
