アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,64,36.4%,安打,63,69.2%
フライ,66,37.5%,四死球,25,27.5%
空三振,28,15.9%,失策出塁,2,2.2%
見三振,13,7.4%,野選,1,1.1%
犠打,5,2.8%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
