HQS率8.3%,SQS率8.3%,被打率.272,被BABIP.307,被出塁率.336,被長打率.371,K/BB2.16,K/95.83,BB/92.70,HR/90.57,GO/AO0.97,援護率3.46,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.43,69.2%,-8.01,-0.94,-8.08,230,0.0,65,25,0.0,0,0,0,
