球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,150,39.9%,146.9,7,28,29,53,42.7%,10.1%,.382,34,13,1,2,1,0
フォーク,55,14.6%,136.1,11,6,11,13,50.9%,30.6%,.176,17,3,0,3,0,0
スライダー,51,13.6%,129.9,10,14,4,16,54.9%,47.6%,.091,11,1,1,5,1,0
カットボール,34,9.0%,136.2,2,7,6,11,44.1%,12.5%,.375,8,3,0,0,0,0
チェンジアップ,26,6.9%,130.5,6,3,5,5,53.8%,33.3%,.000,9,0,0,2,0,0
カーブ,17,4.5%,119.9,1,5,4,6,58.8%,16.7%,.000,2,0,0,1,0,0
スプリット,16,4.3%,141.6,2,3,0,5,31.3%,25.0%,.500,6,3,0,0,0,0
ツーシーム,12,3.2%,136.8,0,4,5,0,75.0%,0.0%,.000,3,0,0,0,0,0
ナックルカーブ,5,1.3%,125.0,2,0,1,1,60.0%,50.0%,.000,2,0,0,1,0,0
シュート,5,1.3%,144.5,1,0,0,2,20.0%,33.3%,.000,1,0,0,0,0,0
パワーカーブ,2,0.5%,128.0,1,0,0,0,50.0%,50.0%,.000,2,0,0,1,0,0
ワンシーム,2,0.5%,140.0,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
シンカー,1,0.3%,130.0,1,0,0,0,100.0%,100.0%,-,0,0,0,0,0,0
