NOI368.3,GPA.200,RC6.68,RC272.25,XR7.27,XR272.45,RCAA-2.83,XR+-2.28,RCWIN-0.33,XRWIN-0.27,BABIP.263
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.13,0.010,50.00,6.67,0.105,47.50,0.126,0.455,0.00,19.0%,
