HQS率25.0%,SQS率25.0%,被打率.194,被BABIP.218,被出塁率.257,被長打率.276,K/BB2.86,K/96.07,BB/92.12,HR/90.61,GO/AO0.56,援護率4.13,IPR7.67,NHB%80.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.21,75.4%,1.77,0.21,0.80,109,2.0,24,11,7.2,1,4,4,
