防御率2.73,試合9,先発4,救援5,連投(試)1,連投(日)1,勝利2,敗戦1,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.667,29.2,112,458,15.4,19,2,20,7,0,2,0,0,9,9,0.88,50.0%
