NOI0.0,GPA.000,RC-0.52,RC27-2.83,XR-0.47,XR27-2.56,RCAA-1.02,XR+-0.97,RCWIN-0.12,XRWIN-0.11,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.67,0.000,-,0.000,0.000,-,60.0%,
