連続項目,フラグ (現状値 / 最高値)
得点,0試合 / 4試合
安打,4試合 / 7試合
無安打,0試合 / 3試合
打点,0試合 / 3試合
本塁打,0試合 / 1試合
出塁,6試合 / 14試合
