NOI494.0,GPA.264,RC39.56,RC275.34,XR38.70,XR275.22,RCAA11.14,XR+10.13,RCWIN1.31,XRWIN1.19,BABIP.326
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.57,0.062,11.96,6.80,0.124,33.25,0.214,0.705,0.00,25.8%,
