NOI138.5,GPA.069,RC-1.40,RC27-2.23,XR-1.38,XR27-2.19,RCAA-3.02,XR+-3.00,RCWIN-0.36,XRWIN-0.35,BABIP.091
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.20,0.055,17.00,3.40,0.000,-,0.063,0.118,-,35.3%,
