左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
63.6% (7),63.6% (7),63.6% (7),27.3% (3),27.3% (3),27.3% (3),9.1% (1),9.1% (1),9.1% (1)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
0.0% (0),- (0),70.0% (7),100.0% (1),- (0),20.0% (2),0.0% (0),- (0),10.0% (1)
