NOI458.3,GPA.242,RC39.21,RC274.09,XR39.44,XR274.11,RCAA2.49,XR+2.29,RCWIN0.29,XRWIN0.27,BABIP.308
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.63,0.084,8.88,5.57,0.097,80.00,0.231,0.631,1.60,30.3%,
