NOI333.3,GPA.190,RC0.40,RC272.72,XR0.35,XR272.38,RCAA-0.07,XR+-0.13,RCWIN-0.01,XRWIN-0.01,BABIP.250
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,5.00,0.200,-,0.200,0.500,-,20.0%,
