打率.226,試合50,打席168,打数146,得点21,安打33,内安3,内安率9.1,２Ｂ10,３Ｂ3,本塁4,HR勝敗4-0-0,塁打61,打点18,三振36
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
19,0,1,0,2,4,1,80.0,4,0,0,.226,.315,.418,.733
