NOI1333.3,GPA.700,RC0.61,RC27-,XR0.50,XR27-,RCAA0.52,XR+0.40,RCWIN0.06,XRWIN0.05,BABIP1.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
-,0.000,-,-,0.000,-,0.000,-,-,0.0%,
