球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,186,44.1%,148.1,24,34,42,58,53.8%,25.5%,.256,43,11,1,16,5,1
スライダー,75,17.8%,129.6,15,6,20,22,54.7%,31.9%,.278,18,5,0,6,0,0
カットボール,36,8.5%,138.9,2,4,10,14,44.4%,11.1%,.143,7,1,0,2,1,1
カーブ,29,6.9%,117.9,2,10,3,12,51.7%,28.6%,.333,3,1,0,1,0,0
フォーク,25,5.9%,134.5,5,1,6,8,48.0%,31.3%,.125,8,1,0,3,0,0
チェンジアップ,25,5.9%,128.5,7,1,4,9,48.0%,46.7%,.143,7,1,0,3,0,0
スプリット,20,4.7%,140.2,9,1,4,6,70.0%,69.2%,.000,3,0,0,3,0,0
ツーシーム,10,2.4%,141.8,1,0,7,0,80.0%,10.0%,.000,1,0,0,0,0,0
シュート,6,1.4%,143.3,0,0,3,2,50.0%,0.0%,.000,1,0,0,0,0,0
縦スライダー,4,0.9%,131.3,0,0,0,4,0.0%,-%,-,0,0,0,0,1,0
ナックルカーブ,2,0.5%,123.0,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
パーム,2,0.5%,113.0,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
パワーカーブ,1,0.2%,117.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
シンカー,1,0.2%,133.0,1,0,0,0,100.0%,100.0%,-,0,0,0,0,0,0
