NOI381.6,GPA.199,RC7.52,RC272.67,XR7.75,XR272.75,RCAA-2.62,XR+-2.51,RCWIN-0.30,XRWIN-0.29,BABIP.339
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.21,0.070,14.71,3.03,0.055,91.00,0.154,0.493,1.50,40.8%,
