打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,22,9,0.409,0,5,1,0,0,0.435
2打席目,22,2,0.091,1,8,1,0,0,0.13
3打席目,17,3,0.176,0,9,2,1,0,0.263
4打席目,7,3,0.429,0,3,0,0,0,0.429
5打席目以上,3,1,0.333,0,0,0,0,0,0.333
