球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,293,48.2%,147.6,32,50,64,103,49.8%,22.9%,.281,57,16,1,14,9,0
スライダー,79,13.0%,130.1,14,11,17,25,53.2%,32.6%,.125,16,2,0,4,1,0
フォーク,61,10.0%,136.7,15,5,10,24,49.2%,46.9%,.167,18,3,0,11,2,0
チェンジアップ,40,6.6%,134.9,11,1,6,13,45.0%,42.3%,.154,13,2,0,4,0,0
カットボール,35,5.8%,138.6,7,3,7,11,48.6%,33.3%,.200,10,2,0,3,2,0
スプリット,29,4.8%,140.3,5,1,5,11,37.9%,29.4%,.286,7,2,0,0,1,0
ツーシーム,20,3.3%,145.6,5,1,5,6,55.0%,38.5%,.500,4,2,0,1,1,0
カーブ,15,2.5%,113.8,0,3,3,6,40.0%,0.0%,.000,3,0,0,0,0,0
縦スライダー,11,1.8%,127.1,0,2,4,4,54.5%,0.0%,-,0,0,0,0,0,0
パワーカーブ,10,1.6%,122.1,2,1,1,5,40.0%,50.0%,.000,1,0,0,0,0,0
シンカー,7,1.2%,135.2,1,0,3,1,57.1%,16.7%,.667,3,2,0,1,0,0
シュート,6,1.0%,144.2,0,0,1,4,16.7%,0.0%,.000,1,0,0,0,0,1
ナックルカーブ,1,0.2%,124.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
高速スライダー,1,0.2%,138.0,1,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
