NOI403.0,GPA.212,RC4.60,RC272.83,XR4.42,XR272.71,RCAA-1.30,XR+-1.55,RCWIN-0.15,XRWIN-0.18,BABIP.342
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.06,0.064,60.00,3.53,0.073,-,0.091,0.500,-,30.0%,
