条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.211,23,19,4,2,0,0,9,1,3,0,0
対左投手,0.25,37,36,9,2,0,0,8,0,1,0,0
