NOI249.1,GPA.129,RC0.49,RC270.45,XR0.64,XR270.59,RCAA-2.84,XR+-2.71,RCWIN-0.33,XRWIN-0.32,BABIP.313
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.07,0.027,35.00,2.50,-0.000,-,0.033,0.240,-,42.9%,
