NOI231.9,GPA.118,RC-0.04,RC27-0.08,XR0.09,XR270.19,RCAA-1.56,XR+-1.44,RCWIN-0.18,XRWIN-0.17,BABIP.400
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.10,0.054,16.00,1.60,0.000,-,0.067,0.231,-,68.8%,
