打率.266,試合126,打席401,打数357,得点43,安打95,内安28,内安率29.5,２Ｂ8,３Ｂ5,本塁0,HR勝敗0,塁打113,打点13,三振46
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
24,2,6,13,1,14,6,70.0,6,0,2,.250,.322,.317,.639
