アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,145,53.3%,安打,95,73.1%
フライ,68,25.0%,四死球,30,23.1%
空三振,33,12.1%,失策出塁,4,3.1%
見三振,13,4.8%,野選,1,0.8%
犠打,13,4.8%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
