NOI427.7,GPA.224,RC39.52,RC273.76,XR38.78,XR273.69,RCAA1.40,XR+0.47,RCWIN0.16,XRWIN0.06,BABIP.304
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.52,0.056,16.71,8.72,0.050,-,0.140,0.559,0.00,17.5%,
