打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
1番,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
2番,.333,3,13,9,3,3,0,0,0,3,1,1,4,0,0,0,0,0,0,0,.538,.333,0.872
3番,.238,11,48,42,3,10,0,0,0,10,3,3,5,0,1,0,0,0,0,0,.333,.238,0.571
4番,.238,40,171,151,12,36,5,4,1,52,17,18,16,0,0,1,3,0,1,1,.306,.344,0.65
5番,.217,41,170,143,13,31,4,0,1,38,5,24,23,1,0,3,1,1,1,4,.323,.266,0.589
6番,.455,3,11,11,1,5,0,0,1,8,3,0,0,0,0,0,0,0,0,0,.455,.727,1.182
7番,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
8番,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
9番,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
