NOI444.4,GPA.233,RC1.00,RC274.51,XR0.95,XR274.28,RCAA0.15,XR+0.09,RCWIN0.02,XRWIN0.01,BABIP.375
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,9.00,0.000,-,0.000,0.500,-,11.1%,
