HQS率0.0%,SQS率0.0%,被打率.373,被BABIP.415,被出塁率.422,被長打率.644,K/BB2.60,K/98.78,BB/93.38,HR/93.38,GO/AO0.85,援護率2.25,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
6.79,85.0%,-5.04,-0.58,-5.50,50,0.0,16,4,0.0,0,0,0,
