NOI90.9,GPA.041,RC-0.72,RC27-1.94,XR-0.58,XR27-1.58,RCAA-1.80,XR+-1.68,RCWIN-0.21,XRWIN-0.19,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.33,0.091,11.00,3.67,0.000,-,0.100,0.100,-,36.4%,
