左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
44.4% (63),44.4% (63),44.4% (63),24.6% (35),24.6% (35),24.6% (35),31.0% (44),31.0% (44),31.0% (44)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
57.9% (22),54.5% (6),37.6% (35),23.7% (9),27.3% (3),24.7% (23),18.4% (7),18.2% (2),37.6% (35)
