球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,398,64.5%,150.8,20,58,98,154,44.2%,10.8%,0.288,73,21,1,10,14,1
カットボール,107,17.3%,143.3,12,9,22,46,40.2%,23.1%,0.35,20,7,0,3,4,0
カーブ,58,9.4%,116.3,1,13,3,29,29.3%,6.3%,0.385,13,5,0,1,1,0
フォーク,54,8.8%,140.4,7,6,6,26,35.2%,31.8%,0.167,12,2,0,4,1,0
