アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,29,33.0%,安打,35,59.3%
フライ,38,43.2%,四死球,22,37.3%
空三振,15,17.0%,失策出塁,2,3.4%
見三振,3,3.4%,野選,0,0.0%
犠打,3,3.4%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
