防御率2.12,試合29,先発0,救援29,連投(試)1,連投(日)1,勝利3,敗戦1,HLD4,Ｓ0,ＨＰ7,ＳＰ3,救勝3,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.750,29.2,123,484,16.3,30,1,22,7,0,0,1,0,7,7,1.25,-
