HQS率-,SQS率-,被打率.259,被BABIP.312,被出塁率.301,被長打率.310,K/BB3.14,K/96.67,BB/92.12,HR/90.30,GO/AO0.48,援護率-,IPR4.24,NHB%31.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.43,84.3%,3.77,0.44,2.80,159,4.2,0,0,29.2,7,9,24,
