防御率3.65,試合16,先発0,救援16,連投(試)0,連投(日)0,勝利2,敗戦0,HLD5,Ｓ0,ＨＰ7,ＳＰ2,救勝2,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
1.000,12.1,53,210,17.0,9,1,8,7,0,1,1,0,5,5,1.30,-
