チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
巨人,9.0,2,0,2,0,0,0,0,0,0,0,0,2.0,2,1,2,1,0,2,2,1.5,0.25,-,1.0
ＤｅＮＡ,0.0,4,0,4,1,0,1,0,2,1,1,0,3.1,3,0,2,2,0,0,0,1.5,0.25,-,99.0
広島,0.0,2,0,2,0,0,1,0,1,0,0,0,2.0,1,0,1,0,0,0,0,0.5,0.125,-,99.0
ヤクルト,0.0,3,0,3,0,0,2,0,2,0,0,0,1.2,1,0,1,0,0,0,0,0.6,0.167,-,99.0
中日,8.1,5,0,5,1,0,1,0,2,1,1,0,3.1,2,0,2,4,1,3,3,1.8,0.182,-,1.11
