球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ツーシーム,115,54.8%,149.6,4,22,21,42,40.9%,7.8%,.185,27,5,0,1,6,1
スライダー,79,37.6%,131.4,17,16,5,31,48.1%,53.1%,.176,17,3,1,7,0,0
ストレート,6,2.9%,149.6,0,3,0,3,50.0%,-%,-,0,0,0,0,1,0
チェンジアップ,5,2.4%,136.7,1,0,0,3,20.0%,50.0%,1.000,1,1,0,0,0,0
カットボール,5,2.4%,145.5,0,1,2,2,60.0%,0.0%,-,0,0,0,0,0,0
