条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.308,44,39,12,4,0,1,7,4,1,0,0
対左打者,0.265,42,34,9,2,1,0,7,8,0,0,0
