防御率2.36,試合8,先発8,救援0,連投(試)0,連投(日)0,勝利3,敗戦2,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.600,42.0,175,707,16.8,34,3,41,16,1,1,2,0,11,11,1.19,37.5%
